frequency,recency,T,monetary_value
19.0,19.0,19.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,26.0,0.0
2.0,5.0,27.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,3.0,0.0
1.0,1.0,20.0,2.49
3.0,5.0,30.0,2.49
9.0,9.0,16.0,2.49
15.0,15.0,31.0,2.49
1.0,1.0,18.0,2.49
1.0,17.0,22.0,2.49
0.0,0.0,25.0,0.0
14.0,14.0,30.0,2.4899999999999998
19.0,19.0,19.0,2.49
6.0,6.0,19.0,2.49
17.0,18.0,27.0,2.49
0.0,0.0,29.0,0.0
3.0,3.0,28.0,2.49
4.0,6.0,24.0,2.49
0.0,0.0,28.0,0.0
1.0,1.0,18.0,2.49
1.0,3.0,19.0,2.49
4.0,4.0,31.0,2.49
27.0,27.0,33.0,2.49
1.0,2.0,25.0,7.470000000000001
15.0,18.0,19.0,2.49
16.0,18.0,32.0,2.49
17.0,17.0,23.0,2.49
0.0,0.0,28.0,0.0
8.0,9.0,31.0,2.49
0.0,0.0,22.0,0.0
2.0,11.0,23.0,3.7350000000000003
6.0,6.0,9.0,2.49
4.0,5.0,33.0,2.49
3.0,3.0,31.0,2.49
13.0,13.0,29.0,2.49
1.0,1.0,26.0,2.49
0.0,0.0,18.0,0.0
23.0,32.0,32.0,2.8147826086956527
0.0,0.0,29.0,0.0
10.0,14.0,24.0,2.49
0.0,0.0,24.0,0.0
10.0,11.0,30.0,2.49
0.0,0.0,26.0,0.0
18.0,18.0,18.0,2.49
1.0,2.0,30.0,4.98
7.0,7.0,25.0,2.4899999999999998
0.0,0.0,28.0,0.0
0.0,0.0,31.0,0.0
9.0,13.0,22.0,2.49
1.0,1.0,21.0,2.49
11.0,11.0,21.0,2.49
1.0,1.0,32.0,2.49
0.0,0.0,31.0,0.0
1.0,1.0,27.0,2.49
1.0,1.0,31.0,2.49
6.0,6.0,23.0,2.49
0.0,0.0,8.0,0.0
2.0,4.0,30.0,4.98
13.0,14.0,30.0,3.0646153846153847
4.0,4.0,19.0,2.49
3.0,3.0,19.0,2.49
8.0,10.0,27.0,2.49
30.0,31.0,32.0,2.49
16.0,16.0,21.0,2.49
7.0,8.0,32.0,2.4899999999999998
9.0,9.0,26.0,2.49
19.0,21.0,22.0,2.49
0.0,0.0,30.0,0.0
2.0,5.0,28.0,2.49
1.0,1.0,25.0,2.49
6.0,6.0,24.0,2.49
0.0,0.0,30.0,0.0
5.0,5.0,22.0,2.49
2.0,2.0,23.0,2.49
18.0,19.0,19.0,2.49
0.0,0.0,11.0,0.0
18.0,19.0,19.0,2.49
0.0,0.0,30.0,0.0
25.0,31.0,31.0,2.988
16.0,16.0,32.0,2.49
3.0,3.0,32.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,26.0,0.0
0.0,0.0,13.0,0.0
0.0,0.0,20.0,0.0
3.0,3.0,25.0,2.49
0.0,0.0,21.0,0.0
1.0,9.0,18.0,2.49
6.0,7.0,26.0,2.905
20.0,22.0,23.0,2.49
2.0,2.0,22.0,2.49
14.0,18.0,20.0,2.4899999999999998
8.0,8.0,26.0,2.49
0.0,0.0,29.0,0.0
3.0,3.0,32.0,2.49
0.0,0.0,24.0,0.0
2.0,2.0,24.0,2.49
2.0,2.0,26.0,2.49
1.0,1.0,21.0,2.49
25.0,27.0,28.0,2.49
16.0,16.0,23.0,2.49
21.0,22.0,25.0,2.49
0.0,0.0,26.0,0.0
0.0,0.0,29.0,0.0
4.0,4.0,22.0,2.49
0.0,0.0,24.0,0.0
22.0,22.0,24.0,2.49
9.0,10.0,15.0,2.49
1.0,1.0,25.0,2.49
1.0,1.0,15.0,2.49
0.0,0.0,25.0,0.0
1.0,1.0,26.0,2.49
22.0,22.0,23.0,2.49
1.0,1.0,22.0,2.49
2.0,2.0,27.0,2.49
10.0,10.0,29.0,2.49
4.0,4.0,33.0,2.49
3.0,12.0,24.0,2.49
1.0,1.0,29.0,2.49
7.0,7.0,18.0,2.4899999999999998
3.0,4.0,24.0,2.49
0.0,0.0,24.0,0.0
0.0,0.0,23.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,29.0,0.0
16.0,16.0,17.0,2.49
26.0,28.0,31.0,2.49
6.0,7.0,19.0,2.905
0.0,0.0,33.0,0.0
2.0,2.0,18.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,28.0,0.0
2.0,2.0,22.0,2.49
0.0,0.0,24.0,0.0
0.0,0.0,21.0,0.0
4.0,4.0,21.0,2.49
2.0,2.0,22.0,2.49
0.0,0.0,27.0,0.0
4.0,16.0,32.0,2.49
0.0,0.0,25.0,0.0
2.0,2.0,17.0,2.49
3.0,3.0,24.0,2.49
0.0,0.0,24.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,26.0,0.0
14.0,14.0,30.0,2.4899999999999998
11.0,24.0,30.0,2.49
0.0,0.0,21.0,0.0
1.0,3.0,29.0,2.49
0.0,0.0,29.0,0.0
0.0,0.0,28.0,0.0
3.0,3.0,31.0,2.49
4.0,5.0,31.0,4.3575
2.0,2.0,32.0,2.49
4.0,6.0,31.0,2.49
1.0,1.0,27.0,2.49
17.0,17.0,32.0,2.49
0.0,0.0,32.0,0.0
3.0,3.0,29.0,2.49
0.0,0.0,27.0,0.0
1.0,1.0,23.0,4.98
2.0,2.0,31.0,3.7350000000000003
0.0,0.0,25.0,0.0
2.0,25.0,32.0,3.7350000000000003
7.0,7.0,32.0,2.4899999999999998
0.0,0.0,22.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,17.0,0.0
1.0,1.0,20.0,2.49
2.0,2.0,27.0,2.49
15.0,16.0,28.0,2.49
0.0,0.0,29.0,0.0
3.0,3.0,32.0,2.49
15.0,16.0,23.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,21.0,0.0
0.0,0.0,31.0,0.0
17.0,20.0,22.0,2.7829411764705885
4.0,12.0,32.0,2.49
5.0,5.0,19.0,2.49
0.0,0.0,20.0,0.0
0.0,0.0,31.0,0.0
8.0,8.0,23.0,2.49
4.0,4.0,21.0,2.49
1.0,1.0,31.0,2.49
0.0,0.0,30.0,0.0
2.0,2.0,26.0,2.49
2.0,4.0,20.0,2.49
5.0,6.0,24.0,2.9880000000000004
21.0,24.0,28.0,2.49
3.0,3.0,22.0,2.49
0.0,0.0,25.0,0.0
0.0,0.0,32.0,0.0
5.0,5.0,19.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,27.0,0.0
3.0,3.0,31.0,2.49
0.0,0.0,26.0,0.0
3.0,3.0,22.0,2.49
0.0,0.0,12.0,0.0
1.0,1.0,27.0,2.49
0.0,0.0,26.0,0.0
19.0,20.0,22.0,2.49
25.0,26.0,27.0,2.49
0.0,0.0,12.0,0.0
26.0,26.0,27.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,32.0,0.0
0.0,0.0,30.0,0.0
1.0,1.0,32.0,2.49
1.0,1.0,23.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,20.0,0.0
6.0,7.0,31.0,2.49
20.0,22.0,22.0,2.49
0.0,0.0,26.0,0.0
0.0,0.0,19.0,0.0
11.0,23.0,23.0,2.7163636363636368
1.0,1.0,21.0,2.49
26.0,27.0,28.0,2.49
0.0,0.0,31.0,0.0
1.0,1.0,26.0,2.49
3.0,3.0,28.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,13.0,0.0
1.0,1.0,22.0,2.49
1.0,1.0,26.0,2.49
1.0,1.0,30.0,2.49
0.0,0.0,31.0,0.0
2.0,9.0,27.0,2.49
1.0,1.0,27.0,2.49
1.0,1.0,29.0,2.49
2.0,2.0,31.0,2.49
1.0,1.0,23.0,2.49
19.0,19.0,27.0,2.49
11.0,11.0,24.0,2.49
2.0,2.0,32.0,2.49
0.0,0.0,11.0,0.0
8.0,10.0,23.0,2.8012500000000005
1.0,1.0,23.0,2.49
5.0,5.0,26.0,2.49
0.0,0.0,31.0,0.0
17.0,31.0,33.0,2.6364705882352943
3.0,3.0,23.0,2.49
0.0,0.0,24.0,0.0
12.0,13.0,25.0,2.49
1.0,1.0,24.0,2.49
9.0,9.0,31.0,2.49
3.0,3.0,27.0,2.49
0.0,0.0,3.0,0.0
1.0,1.0,25.0,2.49
2.0,2.0,23.0,2.49
0.0,0.0,20.0,0.0
0.0,0.0,29.0,0.0
1.0,1.0,24.0,2.49
0.0,0.0,23.0,0.0
0.0,0.0,15.0,0.0
9.0,9.0,27.0,2.49
6.0,14.0,22.0,2.49
6.0,6.0,24.0,2.49
0.0,0.0,23.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,33.0,0.0
1.0,1.0,26.0,2.49
8.0,8.0,32.0,2.49
0.0,0.0,24.0,0.0
8.0,9.0,25.0,2.49
0.0,0.0,21.0,0.0
0.0,0.0,22.0,0.0
5.0,5.0,21.0,2.49
16.0,18.0,28.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,22.0,0.0
3.0,3.0,28.0,2.49
3.0,6.0,13.0,3.3200000000000003
3.0,3.0,25.0,2.49
0.0,0.0,23.0,0.0
7.0,7.0,19.0,2.4899999999999998
14.0,14.0,21.0,2.4899999999999998
0.0,0.0,22.0,0.0
13.0,14.0,27.0,2.49
4.0,6.0,25.0,2.49
1.0,1.0,9.0,4.98
1.0,1.0,25.0,2.49
0.0,0.0,24.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,30.0,0.0
6.0,6.0,29.0,2.49
7.0,7.0,33.0,2.4899999999999998
2.0,2.0,23.0,2.49
10.0,10.0,22.0,2.49
4.0,5.0,21.0,2.49
10.0,11.0,29.0,2.49
20.0,21.0,22.0,2.49
7.0,7.0,20.0,2.4899999999999998
4.0,4.0,24.0,2.49
1.0,1.0,31.0,2.49
0.0,0.0,23.0,0.0
25.0,26.0,27.0,2.6892
1.0,1.0,25.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,31.0,0.0
13.0,13.0,24.0,2.49
1.0,1.0,19.0,2.49
2.0,2.0,22.0,2.49
5.0,5.0,25.0,2.49
5.0,28.0,29.0,2.49
1.0,1.0,28.0,2.49
1.0,1.0,19.0,2.49
1.0,1.0,19.0,2.49
2.0,2.0,19.0,2.49
4.0,4.0,4.0,2.49
2.0,2.0,22.0,2.49
9.0,9.0,26.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,7.0,0.0
2.0,2.0,20.0,2.49
4.0,4.0,30.0,2.49
20.0,25.0,33.0,2.49
0.0,0.0,21.0,0.0
2.0,2.0,26.0,3.7350000000000003
21.0,23.0,24.0,2.49
0.0,0.0,8.0,0.0
1.0,1.0,32.0,2.49
0.0,0.0,24.0,0.0
0.0,0.0,25.0,0.0
0.0,0.0,22.0,0.0
4.0,5.0,29.0,2.49
1.0,22.0,25.0,4.98
17.0,17.0,19.0,2.49
0.0,0.0,28.0,0.0
8.0,10.0,26.0,2.8012500000000005
21.0,23.0,30.0,2.49
10.0,13.0,22.0,2.49
10.0,10.0,30.0,2.49
1.0,1.0,19.0,2.49
7.0,7.0,32.0,2.4899999999999998
1.0,8.0,30.0,4.98
5.0,21.0,23.0,2.49
2.0,2.0,20.0,2.49
0.0,0.0,26.0,0.0
21.0,22.0,27.0,2.49
2.0,2.0,26.0,2.49
2.0,2.0,23.0,2.49
26.0,27.0,27.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,27.0,0.0
0.0,0.0,26.0,0.0
26.0,30.0,31.0,2.7773076923076925
2.0,3.0,27.0,2.49
0.0,0.0,32.0,0.0
21.0,21.0,22.0,2.6085714285714285
3.0,3.0,29.0,2.49
2.0,2.0,23.0,2.49
0.0,0.0,20.0,0.0
1.0,2.0,31.0,4.98
21.0,22.0,29.0,2.49
8.0,8.0,18.0,2.49
3.0,3.0,30.0,2.49
4.0,4.0,15.0,2.49
13.0,13.0,24.0,2.49
3.0,3.0,32.0,2.49
4.0,4.0,32.0,2.49
6.0,7.0,22.0,2.905
6.0,6.0,22.0,2.49
2.0,2.0,6.0,2.49
19.0,20.0,23.0,2.49
4.0,4.0,29.0,2.49
1.0,1.0,32.0,2.49
2.0,2.0,19.0,2.49
0.0,0.0,23.0,0.0
1.0,1.0,31.0,2.49
0.0,0.0,17.0,0.0
14.0,18.0,22.0,2.845714285714286
18.0,18.0,23.0,2.49
2.0,2.0,30.0,2.49
1.0,1.0,32.0,2.49
9.0,9.0,25.0,2.49
0.0,0.0,8.0,0.0
8.0,8.0,25.0,2.49
1.0,14.0,32.0,2.49
1.0,1.0,23.0,2.49
1.0,1.0,33.0,2.49
6.0,6.0,15.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,31.0,0.0
10.0,12.0,25.0,2.49
13.0,14.0,23.0,2.49
0.0,0.0,26.0,0.0
18.0,18.0,21.0,2.49
19.0,19.0,22.0,2.49
3.0,3.0,25.0,2.49
5.0,5.0,30.0,2.49
5.0,5.0,32.0,2.49
21.0,22.0,23.0,2.49
0.0,0.0,20.0,0.0
4.0,4.0,16.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,32.0,0.0
2.0,2.0,29.0,2.49
4.0,14.0,20.0,2.49
4.0,4.0,22.0,2.49
1.0,4.0,30.0,4.98
0.0,0.0,30.0,0.0
25.0,25.0,26.0,2.49
0.0,0.0,17.0,0.0
8.0,13.0,14.0,2.8012500000000005
9.0,15.0,32.0,2.49
0.0,0.0,27.0,0.0
29.0,31.0,32.0,2.49
14.0,14.0,31.0,2.4899999999999998
7.0,8.0,29.0,2.4899999999999998
1.0,1.0,26.0,2.49
0.0,0.0,25.0,0.0
0.0,0.0,20.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,31.0,0.0
0.0,0.0,20.0,0.0
0.0,0.0,24.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,23.0,0.0
19.0,20.0,24.0,2.6210526315789475
2.0,2.0,21.0,2.49
13.0,13.0,21.0,2.49
0.0,0.0,27.0,0.0
0.0,0.0,1.0,0.0
21.0,21.0,21.0,2.49
0.0,0.0,21.0,0.0
0.0,0.0,23.0,0.0
3.0,3.0,26.0,2.49
1.0,1.0,23.0,2.49
12.0,17.0,25.0,2.905
4.0,4.0,29.0,2.49
24.0,28.0,29.0,2.905
1.0,1.0,28.0,2.49
20.0,21.0,21.0,2.49
19.0,19.0,24.0,2.49
5.0,9.0,17.0,2.9880000000000004
0.0,0.0,17.0,0.0
0.0,0.0,25.0,0.0
0.0,0.0,33.0,0.0
10.0,11.0,29.0,2.49
2.0,2.0,30.0,2.49
0.0,0.0,32.0,0.0
3.0,9.0,27.0,2.49
2.0,7.0,17.0,2.49
0.0,0.0,21.0,0.0
1.0,1.0,22.0,2.49
0.0,0.0,32.0,0.0
2.0,9.0,32.0,2.49
22.0,22.0,23.0,2.49
13.0,13.0,24.0,2.49
3.0,3.0,30.0,2.49
5.0,5.0,24.0,2.49
14.0,15.0,23.0,2.4899999999999998
2.0,2.0,28.0,2.49
0.0,0.0,29.0,0.0
2.0,2.0,27.0,2.49
27.0,28.0,32.0,2.49
17.0,25.0,26.0,2.49
4.0,4.0,8.0,2.49
2.0,2.0,28.0,2.49
5.0,5.0,21.0,2.49
5.0,6.0,32.0,2.49
