frequency,recency,T,monetary_value
0.0,0.0,24.0,0.0
0.0,0.0,31.0,0.0
1.0,1.0,25.0,2.49
4.0,4.0,22.0,2.49
0.0,0.0,24.0,0.0
0.0,0.0,32.0,0.0
0.0,0.0,27.0,0.0
1.0,1.0,26.0,2.49
15.0,15.0,29.0,2.49
0.0,0.0,23.0,0.0
5.0,5.0,20.0,2.49
0.0,0.0,28.0,0.0
4.0,4.0,30.0,2.49
0.0,0.0,30.0,0.0
25.0,28.0,30.0,2.6892
2.0,2.0,24.0,2.49
1.0,1.0,30.0,2.49
8.0,9.0,23.0,2.49
0.0,0.0,21.0,0.0
0.0,0.0,23.0,0.0
22.0,24.0,25.0,2.49
0.0,0.0,15.0,0.0
1.0,1.0,30.0,2.49
18.0,19.0,19.0,2.49
4.0,4.0,9.0,2.49
20.0,21.0,24.0,2.49
25.0,26.0,27.0,2.5896000000000003
0.0,0.0,25.0,0.0
6.0,6.0,7.0,2.49
7.0,7.0,29.0,2.4899999999999998
6.0,6.0,20.0,2.49
19.0,21.0,30.0,2.49
10.0,23.0,29.0,2.49
0.0,0.0,29.0,0.0
4.0,4.0,21.0,2.49
24.0,28.0,29.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,33.0,0.0
0.0,0.0,25.0,0.0
15.0,17.0,25.0,2.49
0.0,0.0,31.0,0.0
4.0,18.0,29.0,3.1125000000000003
12.0,15.0,32.0,3.5275000000000003
1.0,1.0,24.0,2.49
6.0,6.0,32.0,2.49
2.0,2.0,25.0,2.49
0.0,0.0,29.0,0.0
1.0,1.0,19.0,2.49
7.0,8.0,25.0,2.4899999999999998
0.0,0.0,19.0,0.0
0.0,0.0,28.0,0.0
3.0,3.0,4.0,2.49
0.0,0.0,33.0,0.0
5.0,5.0,30.0,2.49
1.0,1.0,31.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,32.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,25.0,0.0
7.0,18.0,24.0,3.201428571428572
23.0,24.0,25.0,2.49
0.0,0.0,24.0,0.0
1.0,1.0,27.0,2.49
0.0,0.0,26.0,0.0
0.0,0.0,32.0,0.0
0.0,0.0,29.0,0.0
2.0,5.0,25.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,31.0,0.0
4.0,4.0,26.0,3.1125000000000003
12.0,14.0,31.0,2.49
0.0,0.0,32.0,0.0
2.0,4.0,24.0,2.49
0.0,0.0,23.0,0.0
0.0,0.0,4.0,0.0
2.0,2.0,21.0,2.49
0.0,0.0,32.0,0.0
3.0,3.0,32.0,2.49
1.0,1.0,12.0,2.49
0.0,0.0,21.0,0.0
5.0,18.0,24.0,2.49
3.0,3.0,30.0,2.49
21.0,22.0,32.0,2.49
3.0,3.0,31.0,2.49
0.0,0.0,21.0,0.0
17.0,17.0,22.0,2.49
9.0,10.0,29.0,2.49
13.0,15.0,25.0,2.6815384615384614
0.0,0.0,24.0,0.0
30.0,31.0,32.0,2.49
0.0,0.0,33.0,0.0
0.0,0.0,21.0,0.0
1.0,1.0,32.0,2.49
28.0,29.0,30.0,2.4899999999999998
7.0,7.0,15.0,2.4899999999999998
19.0,20.0,29.0,2.49
11.0,11.0,24.0,2.49
25.0,27.0,30.0,2.49
0.0,0.0,22.0,0.0
2.0,2.0,30.0,2.49
1.0,1.0,32.0,2.49
0.0,0.0,17.0,0.0
2.0,2.0,25.0,2.49
7.0,7.0,30.0,2.4899999999999998
2.0,2.0,22.0,2.49
0.0,0.0,7.0,0.0
0.0,0.0,30.0,0.0
12.0,12.0,19.0,2.49
28.0,29.0,30.0,2.756785714285715
0.0,0.0,25.0,0.0
1.0,10.0,24.0,2.49
31.0,32.0,32.0,2.49
31.0,32.0,33.0,2.49
3.0,3.0,22.0,2.49
5.0,5.0,9.0,2.49
0.0,0.0,21.0,0.0
15.0,18.0,31.0,3.1540000000000004
13.0,14.0,25.0,2.49
5.0,6.0,27.0,2.49
7.0,11.0,28.0,3.201428571428572
18.0,18.0,19.0,2.766666666666667
21.0,21.0,31.0,2.49
0.0,0.0,23.0,0.0
0.0,0.0,31.0,0.0
20.0,26.0,31.0,2.49
1.0,1.0,31.0,2.49
0.0,0.0,33.0,0.0
21.0,21.0,31.0,2.49
18.0,19.0,20.0,2.49
4.0,4.0,16.0,2.49
0.0,0.0,20.0,0.0
13.0,13.0,18.0,2.49
2.0,2.0,30.0,2.49
15.0,15.0,21.0,2.49
29.0,29.0,30.0,2.49
0.0,0.0,29.0,0.0
18.0,19.0,24.0,2.49
0.0,0.0,22.0,0.0
2.0,4.0,31.0,4.98
6.0,6.0,19.0,2.49
0.0,0.0,20.0,0.0
2.0,2.0,17.0,2.49
4.0,4.0,20.0,2.49
1.0,1.0,26.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,28.0,0.0
0.0,0.0,22.0,0.0
3.0,3.0,30.0,2.49
0.0,0.0,32.0,0.0
3.0,3.0,24.0,2.49
6.0,6.0,24.0,2.49
14.0,21.0,21.0,2.4899999999999998
0.0,0.0,6.0,0.0
0.0,0.0,29.0,0.0
2.0,3.0,23.0,3.7350000000000003
12.0,13.0,22.0,2.49
0.0,0.0,23.0,0.0
1.0,1.0,26.0,2.49
15.0,18.0,31.0,2.49
0.0,0.0,16.0,0.0
1.0,1.0,32.0,2.49
20.0,21.0,21.0,2.49
4.0,4.0,5.0,2.49
3.0,21.0,23.0,2.49
0.0,0.0,25.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,16.0,0.0
2.0,5.0,25.0,2.49
23.0,24.0,30.0,2.49
1.0,2.0,27.0,2.49
6.0,6.0,23.0,2.49
3.0,3.0,15.0,2.49
0.0,0.0,24.0,0.0
4.0,8.0,28.0,3.7350000000000003
1.0,1.0,26.0,2.49
0.0,0.0,24.0,0.0
7.0,9.0,30.0,2.4899999999999998
0.0,0.0,27.0,0.0
1.0,1.0,23.0,2.49
18.0,21.0,22.0,2.49
0.0,0.0,32.0,0.0
16.0,16.0,32.0,2.49
13.0,13.0,21.0,2.49
11.0,12.0,25.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,28.0,0.0
0.0,0.0,18.0,0.0
0.0,0.0,21.0,0.0
10.0,10.0,21.0,2.49
28.0,28.0,30.0,2.4899999999999998
3.0,3.0,33.0,2.49
0.0,0.0,27.0,0.0
0.0,0.0,22.0,0.0
1.0,2.0,25.0,2.49
0.0,0.0,25.0,0.0
3.0,4.0,32.0,4.98
17.0,17.0,18.0,2.49
1.0,1.0,30.0,2.49
4.0,4.0,22.0,2.49
0.0,0.0,29.0,0.0
1.0,1.0,25.0,2.49
0.0,0.0,17.0,0.0
0.0,0.0,27.0,0.0
2.0,2.0,20.0,2.49
0.0,0.0,29.0,0.0
0.0,0.0,22.0,0.0
3.0,3.0,31.0,2.49
21.0,21.0,22.0,2.49
4.0,5.0,32.0,4.3575
17.0,17.0,31.0,2.49
18.0,19.0,19.0,2.49
16.0,17.0,30.0,2.49
0.0,0.0,25.0,0.0
12.0,12.0,21.0,2.49
0.0,0.0,30.0,0.0
5.0,5.0,19.0,2.49
4.0,4.0,30.0,2.49
4.0,8.0,8.0,3.1125000000000003
2.0,2.0,31.0,2.49
0.0,0.0,25.0,0.0
7.0,7.0,31.0,2.4899999999999998
4.0,4.0,32.0,2.49
5.0,8.0,29.0,2.9880000000000004
1.0,1.0,19.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,30.0,0.0
9.0,27.0,29.0,2.49
0.0,0.0,8.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,3.0,0.0
3.0,4.0,22.0,2.49
0.0,0.0,22.0,0.0
13.0,13.0,23.0,2.49
19.0,19.0,28.0,2.49
6.0,16.0,26.0,3.7350000000000008
12.0,12.0,24.0,2.49
1.0,1.0,30.0,2.49
0.0,0.0,22.0,0.0
13.0,18.0,21.0,3.0646153846153847
3.0,4.0,7.0,2.49
6.0,8.0,24.0,2.49
0.0,0.0,23.0,0.0
1.0,1.0,30.0,2.49
6.0,6.0,32.0,2.49
3.0,4.0,30.0,2.49
5.0,5.0,20.0,2.49
0.0,0.0,29.0,0.0
0.0,0.0,24.0,0.0
15.0,15.0,16.0,2.49
1.0,6.0,26.0,2.49
14.0,15.0,22.0,2.4899999999999998
13.0,14.0,32.0,2.49
28.0,28.0,29.0,2.4899999999999998
6.0,6.0,23.0,2.49
1.0,1.0,24.0,2.49
7.0,7.0,32.0,2.4899999999999998
0.0,0.0,21.0,0.0
0.0,0.0,14.0,0.0
5.0,5.0,20.0,2.49
0.0,0.0,19.0,0.0
0.0,0.0,29.0,0.0
0.0,0.0,23.0,0.0
11.0,12.0,17.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,23.0,0.0
22.0,22.0,23.0,2.49
14.0,14.0,15.0,2.4899999999999998
0.0,0.0,15.0,0.0
0.0,0.0,21.0,0.0
1.0,1.0,26.0,2.49
1.0,1.0,20.0,2.49
2.0,2.0,32.0,2.49
0.0,0.0,23.0,0.0
0.0,0.0,19.0,0.0
1.0,1.0,21.0,2.49
0.0,0.0,33.0,0.0
21.0,21.0,22.0,2.49
17.0,19.0,19.0,2.49
15.0,21.0,22.0,2.49
0.0,0.0,10.0,0.0
0.0,0.0,27.0,0.0
0.0,0.0,28.0,0.0
0.0,0.0,28.0,0.0
0.0,0.0,25.0,0.0
1.0,1.0,31.0,2.49
0.0,0.0,21.0,0.0
25.0,25.0,29.0,2.49
3.0,24.0,26.0,3.3200000000000003
1.0,1.0,31.0,2.49
0.0,0.0,22.0,0.0
26.0,26.0,27.0,2.49
3.0,3.0,21.0,2.49
5.0,7.0,32.0,3.4859999999999998
19.0,19.0,24.0,2.7521052631578953
0.0,0.0,32.0,0.0
0.0,0.0,25.0,0.0
0.0,0.0,21.0,0.0
6.0,28.0,29.0,2.49
2.0,2.0,32.0,2.49
0.0,0.0,25.0,0.0
1.0,1.0,24.0,2.49
0.0,0.0,26.0,0.0
3.0,6.0,23.0,2.49
10.0,10.0,31.0,3.2370000000000005
8.0,8.0,28.0,2.49
1.0,1.0,28.0,2.49
0.0,0.0,18.0,0.0
21.0,21.0,24.0,2.6085714285714285
1.0,1.0,31.0,2.49
9.0,9.0,19.0,2.49
29.0,30.0,31.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,21.0,0.0
1.0,1.0,22.0,2.49
0.0,0.0,25.0,0.0
7.0,8.0,22.0,2.4899999999999998
0.0,0.0,21.0,0.0
8.0,8.0,26.0,2.49
0.0,0.0,24.0,0.0
1.0,1.0,32.0,2.49
17.0,20.0,21.0,2.49
0.0,0.0,26.0,0.0
19.0,22.0,22.0,2.49
21.0,23.0,25.0,2.49
2.0,6.0,16.0,2.49
0.0,0.0,27.0,0.0
16.0,16.0,22.0,2.49
1.0,1.0,32.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,32.0,0.0
24.0,26.0,26.0,2.49
4.0,4.0,21.0,2.49
16.0,17.0,32.0,2.49
11.0,14.0,24.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,26.0,0.0
7.0,7.0,29.0,2.4899999999999998
9.0,9.0,23.0,2.49
1.0,1.0,23.0,2.49
1.0,1.0,32.0,2.49
1.0,1.0,30.0,2.49
2.0,2.0,24.0,2.49
0.0,0.0,23.0,0.0
2.0,2.0,32.0,2.49
0.0,0.0,24.0,0.0
1.0,20.0,30.0,2.49
1.0,1.0,25.0,2.49
0.0,0.0,20.0,0.0
0.0,0.0,26.0,0.0
0.0,0.0,31.0,0.0
18.0,21.0,22.0,2.49
9.0,9.0,22.0,2.49
0.0,0.0,31.0,0.0
8.0,9.0,19.0,2.49
3.0,3.0,31.0,2.49
8.0,8.0,26.0,2.49
0.0,0.0,25.0,0.0
0.0,0.0,31.0,0.0
6.0,6.0,30.0,2.49
0.0,0.0,20.0,0.0
3.0,3.0,33.0,2.49
1.0,1.0,31.0,2.49
0.0,0.0,31.0,0.0
2.0,2.0,23.0,2.49
1.0,1.0,32.0,2.49
23.0,24.0,24.0,2.49
17.0,22.0,23.0,2.49
0.0,0.0,25.0,0.0
9.0,9.0,26.0,2.49
8.0,8.0,33.0,3.42375
0.0,0.0,24.0,0.0
16.0,21.0,22.0,2.49
19.0,19.0,20.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,32.0,0.0
0.0,0.0,19.0,0.0
9.0,9.0,23.0,2.49
2.0,2.0,26.0,2.49
22.0,30.0,31.0,2.829545454545455
7.0,7.0,26.0,2.4899999999999998
0.0,0.0,23.0,0.0
0.0,0.0,30.0,0.0
13.0,14.0,28.0,2.49
19.0,20.0,29.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,26.0,0.0
0.0,0.0,22.0,0.0
4.0,4.0,23.0,2.49
5.0,5.0,32.0,3.4859999999999998
22.0,23.0,32.0,2.49
23.0,25.0,30.0,2.49
6.0,6.0,28.0,2.49
0.0,0.0,24.0,0.0
3.0,3.0,19.0,2.49
3.0,3.0,27.0,2.49
0.0,0.0,20.0,0.0
0.0,0.0,26.0,0.0
25.0,25.0,26.0,2.49
1.0,1.0,32.0,2.49
2.0,3.0,30.0,2.49
11.0,11.0,28.0,2.49
10.0,13.0,30.0,2.49
5.0,5.0,25.0,2.49
0.0,0.0,30.0,0.0
2.0,2.0,26.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,25.0,0.0
15.0,16.0,32.0,2.49
0.0,0.0,25.0,0.0
0.0,0.0,28.0,0.0
1.0,4.0,25.0,2.49
17.0,18.0,19.0,2.49
5.0,5.0,28.0,2.49
13.0,15.0,16.0,2.49
0.0,0.0,24.0,0.0
21.0,22.0,32.0,2.49
2.0,9.0,25.0,2.49
27.0,29.0,30.0,2.49
0.0,0.0,19.0,0.0
14.0,15.0,20.0,2.4899999999999998
0.0,0.0,22.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,21.0,0.0
2.0,2.0,32.0,2.49
22.0,26.0,27.0,2.6031818181818185
0.0,0.0,20.0,0.0
9.0,9.0,21.0,2.49
10.0,10.0,24.0,2.49
19.0,20.0,21.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,5.0,0.0
0.0,0.0,23.0,0.0
31.0,32.0,32.0,2.49
0.0,0.0,21.0,0.0
22.0,22.0,24.0,2.49
3.0,3.0,21.0,2.49
7.0,7.0,28.0,2.4899999999999998
0.0,0.0,22.0,0.0
1.0,1.0,23.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,32.0,0.0
3.0,3.0,27.0,2.49
2.0,2.0,30.0,2.49
10.0,10.0,12.0,2.49
0.0,0.0,21.0,0.0
0.0,0.0,24.0,0.0
2.0,2.0,25.0,2.49
0.0,0.0,26.0,0.0
1.0,1.0,26.0,2.49
1.0,2.0,27.0,4.98
0.0,0.0,23.0,0.0
0.0,0.0,25.0,0.0
5.0,7.0,25.0,2.9880000000000004
2.0,2.0,24.0,2.49
0.0,0.0,25.0,0.0
0.0,0.0,19.0,0.0
6.0,7.0,30.0,2.49
14.0,32.0,33.0,2.667857142857143
28.0,28.0,31.0,2.4899999999999998
